,Actor_id,movie_id
0,1,499549
1,1,393735
2,1,1633356
3,1,456554
4,1,364725
5,1,422401
6,2,499549
7,2,146675
8,2,119094
9,2,1538403
10,2,107978
11,2,1148204
12,2,114608
13,3,499549
14,3,132347
15,3,118956
16,3,104691
17,3,402399
18,3,281322
19,4,449088
20,4,383574
21,4,332452
22,4,325980
23,4,120737
24,4,320661
25,4,167260
26,4,167261
27,4,1509767
28,4,368709
29,4,2249221
30,5,449088
31,5,383574
32,5,1210819
33,5,1298650
34,5,2567026
35,5,367594
36,5,1077368
37,5,1192628
38,5,325980
39,5,1152836
40,5,2209764
41,5,3045616
42,5,1355683
43,5,2180411
44,5,363988
45,5,142688
46,5,119008
47,5,120681
48,5,221027
49,5,121164
50,5,285823
51,5,308644
52,5,112883
53,5,375920
54,5,99487
55,5,120669
56,5,109707
57,5,108550
58,5,1243957
59,5,91763
60,5,101917
61,5,3838992
62,5,3099498
63,5,1014759
64,5,138304
65,5,87800
66,6,449088
67,6,383574
68,6,325980
69,6,134119
70,6,375920
71,6,372532
72,7,2379713
73,7,830515
74,7,2084970
75,7,1074638
76,8,2379713
77,8,918940
78,8,990407
79,8,1853728
80,8,361748
81,8,2170439
82,8,1067583
83,8,1692486
84,8,1126590
85,9,2379713
86,10,1345836
87,10,438488
88,10,468569
89,10,372784
90,10,1152836
91,10,1410063
92,10,253556
93,10,238112
94,10,114148
95,10,162650
96,10,381849
97,10,1800241
98,10,482571
99,10,402399
100,10,1596363
101,10,347149
102,10,1206543
103,10,368794
104,10,238380
105,10,110367
106,10,964517
107,10,462504
108,10,120879
109,10,144084
110,10,361862
111,10,1528100
112,10,433387
113,11,1345836
114,11,1375666
115,11,1392190
116,11,1663202
117,11,1596350
118,11,253754
119,11,1014763
120,11,3569230
121,11,1291584
122,11,1032755
123,11,1238834
124,11,375912
125,11,1172570
126,12,1345836
127,12,1046173
128,12,1375666
129,12,133240
130,12,443272
131,12,458481
132,12,1046997
133,12,116731
134,12,115082
135,12,1547234
136,12,3488710
137,12,1276104
138,12,489281
139,12,147800
140,12,1306980
141,12,1022603
142,12,1403177
143,12,2229499
144,12,345551
145,13,5289954
146,14,5289954
147,15,5289954
148,15,1869849
149,15,1869849
150,15,301727
151,15,313038
152,15,313038
153,15,249327
154,15,249327
155,15,2017038
156,15,2017038
157,15,302674
158,15,996382
159,15,32455
160,15,68135
161,15,2035599
162,15,2035599
163,15,2035599
164,15,304692
165,15,304692
166,15,304692
167,15,497116
168,15,1981703
169,15,1981703
170,15,1981703
171,15,3457376
172,15,3457376
173,15,474361
174,15,221809
175,15,221809
176,15,221809
177,15,2638024
178,15,2638024
179,15,2638024
180,15,488873
181,15,488873
182,15,488873
183,15,4607906
184,15,4462082
185,15,4462082
186,15,4462082
187,15,2181837
188,15,2181837
189,15,67580
190,16,401729
191,16,383028
192,16,210217
193,16,345061
194,16,421082
195,16,300214
196,16,2667960
197,16,144178
198,16,186253
199,17,401729
200,17,227538
201,17,1517489
202,17,1262981
203,17,2403021
204,18,401729
205,18,105112
206,19,398286
207,19,1562568
208,20,398286
209,20,243585
210,20,3949660
211,20,266543
212,20,395699
213,20,758766
214,21,398286
215,21,181852
216,21,118771
217,21,120645
218,21,375063
219,21,165361
220,22,2395427
221,22,3498820
222,22,1300854
223,22,371746
224,22,1228705
225,22,1515091
226,22,942385
227,22,988045
228,22,443706
229,22,1231583
230,22,393735
231,22,821642
232,22,848228
233,22,131325
234,22,338216
235,22,1872194
236,22,348836
237,22,185014
238,22,120710
239,22,113321
240,22,405296
241,22,422295
242,22,373469
243,22,423977
244,22,114279
245,22,314676
246,22,433383
247,22,124179
248,23,2395427
249,23,1735898
250,23,1981115
251,23,800369
252,23,796366
253,23,2381991
254,23,1390411
255,23,2717822
256,23,848228
257,23,1979320
258,23,1524930
259,23,1259521
260,23,971209
261,23,1106860
262,24,2395427
263,24,3498820
264,24,1228705
265,24,1843866
266,24,119314
267,24,848228
268,24,387877
269,24,831887
270,24,1389137
271,24,2872732
272,24,482571
273,24,467200
274,24,345950
275,24,271367
276,24,3040964
277,24,385267
278,24,1798709
279,24,399201
280,24,475290
281,24,497465
282,24,416320
283,24,1441395
284,24,335119
285,24,2229499
286,24,162346
287,24,335266
288,24,457513
289,25,417741
290,25,373889
291,25,330373
292,25,304141
293,25,241527
294,25,295297
295,25,3110958
296,25,1976009
297,25,236784
298,25,1596365
299,26,417741
300,26,2567026
301,26,102798
302,26,177789
303,26,95016
304,26,117039
305,26,102744
306,26,114388
307,26,914797
308,26,1014759
309,27,417741
310,27,330373
311,27,304141
312,27,1680310
313,27,1571403
314,27,295297
315,27,1235189
316,27,446687
317,28,2975590
318,28,3882082
319,28,2983582
320,29,2975590
321,29,770828
322,29,1638355
323,29,1253864
324,29,486655
325,29,245844
326,29,1366365
327,30,2975590
328,31,348150
329,31,227445
330,31,78346
331,31,116654
332,31,78788
333,31,112883
334,31,68646
335,31,44081
336,31,47296
337,32,348150
338,32,114069
339,32,120768
340,32,289992
341,32,272152
342,32,120623
343,32,117913
344,32,2170439
345,32,223897
346,32,1499658
347,32,478087
348,32,119488
349,32,119668
350,32,120824
351,32,1234548
352,32,363473
353,32,169547
354,32,104348
355,32,1194417
356,32,114814
357,32,1182345
358,32,1615147
359,33,348150
360,33,112760
361,33,1027718
362,33,420238
363,33,230838
364,33,142688
365,33,2095649
366,33,362478
367,33,1175709
368,33,83113
369,33,1401152
370,33,1990314
371,33,372334
372,34,830515
373,34,408306
374,34,401383
375,34,1156143
376,34,3230082
377,35,830515
378,35,328107
379,35,273517
380,36,1210819
381,36,2140373
382,36,1474684
383,37,1210819
384,37,187393
385,37,990407
386,37,985699
387,37,1135487
388,37,116409
389,37,265087
390,37,120152
391,37,2358925
392,37,2278388
393,37,138097
394,37,968264
395,37,465538
396,37,1020072
397,37,1226753
398,37,338013
399,37,1810683
400,37,404032
401,37,1032755
402,37,114388
403,37,278500
404,37,119843
405,37,335119
406,37,1412386
407,37,247425
408,37,119164
409,38,770828
410,38,806203
411,38,163187
412,38,453562
413,38,115736
414,38,2398249
415,39,770828
416,39,473705
417,39,350258
418,39,324127
419,39,337579
420,39,775539
421,39,416185
422,39,116404
423,39,1681370
424,40,499448
425,41,499448
426,41,1877832
427,41,1667889
428,41,2120120
429,41,1985949
430,41,319343
431,41,2702724
432,41,795368
433,41,419749
434,41,1276105
435,41,2983582
436,41,340377
437,41,244094
438,42,499448
439,42,313196
440,43,1298650
441,43,1735898
442,43,2381991
443,43,2674426
444,44,1298650
445,44,1152836
446,44,494238
447,44,484111
448,44,325596
449,44,1226271
450,44,480025
451,45,1409024
452,45,2080374
453,45,1931533
454,45,1019452
455,46,1409024
456,46,120891
457,46,1386697
458,46,448157
459,46,480249
460,46,120912
461,46,172156
462,46,1815862
463,46,248667
464,46,343818
465,46,119654
466,46,120660
467,46,116629
468,46,2381941
469,46,146984
470,46,386588
471,46,454921
472,46,814314
473,46,3322364
474,46,112442
475,47,1409024
476,48,2310332
477,48,1170358
478,48,903624
479,49,2310332
480,49,1170358
481,49,903624
482,49,1538403
483,50,2310332
484,50,1170358
485,50,903624
486,50,3877200
487,50,246134
488,50,5116280
489,50,166396
490,50,280491
491,51,948470
492,51,1872181
493,51,1285016
494,51,891527
495,51,1054606
496,51,1334260
497,51,1259574
498,52,948470
499,52,1872181
500,52,481499
501,52,1570728
502,52,1392197
503,52,1454029
504,52,852713
505,52,1156398
506,52,2562232
507,52,829482
508,52,1243974
509,52,1031969
510,52,1282140
511,53,948470
512,53,1633356
513,54,955308
514,54,800080
515,54,212720
516,54,120738
517,54,368447
518,54,1837709
519,54,443274
520,54,399146
521,54,120776
522,54,118929
523,54,758758
524,54,954990
525,54,283084
526,54,313300
527,54,3499096
528,54,283465
529,55,955308
530,55,268695
531,55,158622
532,55,304711
533,55,231775
534,55,1423894
535,55,1319716
536,55,119164
537,56,955308
538,56,134618
539,57,385752
540,57,1253863
541,57,458481
542,57,1216520
543,57,381061
544,58,385752
545,58,970179
546,58,367594
547,58,1077368
548,58,121766
549,58,121765
550,58,120737
551,58,167261
552,58,99700
553,58,78723
554,58,121164
555,58,77296
556,58,110857
557,58,71807
558,58,62235
559,59,385752
560,59,117060
561,59,156934
562,59,119314
563,59,116209
564,59,280707
565,59,264796
566,59,1668200
567,59,808244
568,59,114279
569,59,1602613
570,59,109831
571,59,1266029
572,60,120338
573,60,424095
574,60,2908446
575,60,457939
576,60,1840309
577,60,405676
578,60,289992
579,60,959337
580,60,976051
581,60,308644
582,60,1692486
583,60,338013
584,60,1712261
585,60,2080374
586,60,1967545
587,60,114388
588,60,404203
589,60,180073
590,60,368222
591,60,1333125
592,60,280778
593,60,110005
594,61,120338
595,61,1375666
596,61,1663202
597,61,338751
598,61,1853728
599,61,450259
600,61,993846
601,61,217505
602,61,407887
603,61,1130884
604,61,758774
605,61,264464
606,61,163978
607,61,959337
608,61,120744
609,61,1616195
610,61,114214
611,61,116999
612,61,117509
613,61,108550
614,61,1343092
615,62,120338
616,63,3498820
617,63,1843866
618,63,458339
619,63,486576
620,63,448134
621,63,1706620
622,63,453556
623,63,480255
624,63,421073
625,63,770703
626,63,277371
627,63,1491044
628,63,449061
629,64,1440129
630,64,918940
631,64,196229
632,64,435651
633,64,999913
634,64,1527186
635,64,1869716
636,64,3172532
637,65,1440129
638,65,372784
639,65,1646987
640,65,120915
641,65,320661
642,65,217505
643,65,267626
644,65,171363
645,65,2637276
646,65,2024469
647,65,2199571
648,65,2446042
649,65,1397280
650,65,314331
651,65,2557490
652,65,85811
653,65,1821658
654,65,114287
655,65,365907
656,65,936501
657,65,108052
658,65,1601913
659,65,117039
660,65,86993
661,65,800320
662,65,1487931
663,65,1352824
664,65,4939066
665,65,362269
666,65,171356
667,65,838247
668,65,1401152
669,66,1440129
670,66,416044
671,67,369610
672,67,2103281
673,67,1964418
674,67,478970
675,67,368447
676,67,207201
677,67,368709
678,67,1392197
679,67,181151
680,67,120188
681,67,1540128
682,67,988595
683,67,337563
684,67,758752
685,67,209475
686,67,899106
687,67,465142
688,67,1588334
689,67,155776
690,67,482461
691,67,1939659
692,67,322700
693,67,317640
694,67,181836
695,68,369610
696,68,438488
697,68,368447
698,68,452637
699,68,1454029
700,68,342735
701,68,2788732
702,68,1306980
703,68,944101
704,69,369610
705,69,1149361
706,69,2503944
707,70,316654
708,70,145487
709,70,1318514
710,70,1754656
711,70,879870
712,70,454824
713,70,326905
714,70,1279935
715,70,1240982
716,70,2788710
717,70,269095
718,70,1245492
719,70,1700841
720,70,910936
721,70,478134
722,70,2312718
723,70,1013753
724,70,1542344
725,70,202402
726,70,231448
727,70,1491044
728,70,413300
729,70,2101441
730,70,783238
731,70,2479800
732,70,1623205
733,71,316654
734,71,1340138
735,71,2267968
736,71,145487
737,71,1001526
738,71,317648
739,71,119395
740,71,126916
741,71,1155056
742,71,236493
743,71,174480
744,71,116259
745,71,887883
746,71,335245
747,71,1193138
748,71,804522
749,71,1524137
750,71,1967545
751,71,1131734
752,71,1142433
753,71,469263
754,71,1095174
755,71,427944
756,71,1225822
757,71,413300
758,71,1840417
759,71,2582802
760,71,433387
761,71,467406
762,72,316654
763,72,145487
764,72,304415
765,72,368709
766,72,118617
767,72,110148
768,72,122718
769,72,422720
770,72,360201
771,72,337692
772,72,338013
773,72,1175709
774,72,2649554
775,72,110367
776,72,120885
777,72,250224
778,72,144168
779,72,204946
780,72,192071
781,72,157503
782,72,1527186
783,72,413300
784,72,2802850
785,72,159097
786,72,1920849
787,73,1300854
788,73,371746
789,73,1228705
790,73,993846
791,73,400717
792,73,120647
793,73,337741
794,73,369436
795,73,1078940
796,73,452594
797,73,191397
798,73,1155056
799,73,2024432
800,73,360201
801,73,124198
802,73,110759
803,73,227005
804,73,117802
805,74,1300854
806,74,183523
807,74,120461
808,74,244244
809,74,785006
810,74,218967
811,74,367479
812,74,120780
813,74,490204
814,74,395169
815,74,1210042
816,74,118749
817,74,375679
818,74,1540133
819,75,376994
820,75,2109248
821,75,118617
822,75,179626
823,75,1016075
824,75,350194
825,76,376994
826,76,1877832
827,76,458525
828,76,424095
829,76,1446192
830,76,290334
831,76,1430132
832,76,433035
833,76,366548
834,76,244244
835,76,120903
836,76,1707386
837,76,1823672
838,76,35423
839,76,1392214
840,76,482571
841,76,414993
842,76,244970
843,76,1083452
844,76,1333125
845,76,3332064
846,77,376994
847,78,1453405
848,78,1318514
849,78,454824
850,78,218817
851,78,2702724
852,78,270980
853,78,1465522
854,79,1453405
855,79,120591
856,79,173840
857,79,198781
858,79,299172
859,79,837562
860,79,413895
861,79,2191701
862,79,118880
863,79,2510894
864,79,1375670
865,79,385880
866,79,319061
867,79,249478
868,79,280590
869,79,116225
870,79,191754
871,79,287717
872,79,790628
873,79,142342
874,79,399201
875,79,116745
876,79,403702
877,79,118715
878,79,114660
879,79,1487931
880,79,770772
881,79,401711
882,79,368222
883,79,112851
884,79,790712
885,79,162346
886,79,1276105
887,79,106792
888,79,117958
889,79,105236
890,80,1453405
891,80,312528
892,80,1287468
893,80,825232
894,80,1111948
895,80,383010
896,81,1055369
897,81,1399103
898,81,418279
899,81,115857
900,81,405676
901,81,421206
902,81,1291584
903,81,497465
904,82,1055369
905,82,1399103
906,82,1815862
907,82,298814
908,82,110997
909,82,357054
910,82,455407
911,82,1220217
912,83,1055369
913,83,1111422
914,83,1217613
915,83,2369135
916,83,482463
917,84,2109248
918,84,167456
919,84,401855
920,84,320691
921,85,2109248
922,85,1855325
923,85,1772230
924,85,1541995
925,86,1872181
926,86,2140373
927,86,488658
